,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
38,（有）かさい農産,葛西　信昭,岩手県一関市川崎町門崎字川崎,http://kasainousan.com/,"8,000万円",17人,小松菜、ほうれん草、水菜、ごぼう、人参等野菜生産販売、加工,農でつながる、農で輝く,有機JAS取得予定,小松菜、ほうれん草、ごぼう,小松菜、ほうれん草、ごぼう,,葛西　信昭,通年可能：収穫調整、加工、作付け準備、販売等,2日日〜,可,可,社宅・寮等,その他　社員と一緒,有,JR大船渡線陸中門崎駅,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,誠実
39,（株）西部開発農産,照井　勝也,岩手県北上市和賀町後藤,http://www.seibu-kaihatsu.com,"55,000万円",110人,水稲、大豆、小麦、蕎麦、野菜類、肉用牛,地域の農地を守り、国土の保全に努めます,,すべて,すべて,,照井　勝也,通年可能：作物の栽培管理・収穫、肉用牛の飼養管理等,3日日〜,可,,社宅・寮等,経営者等家族と一緒,有,JR北上線藤根駅,,,農業体験・理解者の増加,農業体験、就職先検討,
40,（農）となん,平野　友則,岩手県盛岡市下飯岡,,60000万円,12人,米・麦・大豆など,次世代に地域農業のバトンを渡す,取組みなし,米、野菜、果樹,米、野菜、果樹,,南野　正直,通年可能：その時期に体験可能な内容を提示します。ご相談ください。,2日〜,可,可,その他　その他（ホテルを手配予定）,その他　ホテル宿泊を想定。昼食・夕食は支度します,有,,,農作業に適した服装、長靴、手袋,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業に興味・関心があること
41,（有）ドリファー花泉,阿部　信夫,岩手県一関市花泉町花泉字葉の木田,,5000万円,4人,水稲・果樹（和梨）,社員の物心両面における幸福の追求と日本国土の保全・農村社会の維持継承に貢献する事,,水稲・和梨,水稲・和梨,,阿部　信夫、高橋　猛,5～10月：水田作業全般、6～9月：梨管理・収穫,2日日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,ＪＲ東北・清水原駅,,農作業に適した服装,従業員の確保,就職先検討,やる気のある人
42,（有）板倉農産,阿部　善文,宮城県登米郡南方町板倉,http://www.itakura.to,6000万円,3人,水稲を中心に農産物の生産、加工、流通、販売にかかわる事業<BR>,有機栽培による水稲・畑作野菜の生産実践中。生産現場から直接消費者への販売を実施します。<BR>,JAS有機生産工程管理者の研修実施期間であれば受講可能<BR>,水稲、野菜、平飼養鶏,水稲、野菜、平飼養鶏,同社、直営農場及び作業受託農場,阿部善文,3月～5月：水稲作業（苗管理）、野菜栽培、養鶏管理,2日〜,可,不可,経営者宅に間借り,経営者等家族と一緒,無,JR東北本線瀬峰駅から宮城交通バスで農場前（板倉）で下車,,農作業に適した服装（手袋・長靴は貸与）。Ｔシャツや着替えは多めに準備されるとよいでしょう。,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,自立支援農場として新規参入の研修プログラムを準備しました。
43,（有）氏家農場,氏家　靖裕,宮城県遠田郡涌谷町桜町裏,http://www.ujiie-farm.com/,"16,192万円",50人,小ねぎ、みずな、青ねぎ、水稲の生産、販売,生産から加工・販売を展開していく,,小ねぎ、みず菜、青ねぎ,小ねぎ、みず菜、青ねぎ,涌谷町内ほ場,氏家　靖裕,通年可能：小ねぎ、みずな、青ねぎの栽培管理、出荷、その他作業,2日日〜,可,可,その他　町の研修施設,自炊（食費補助）,有,車（石巻線　涌谷駅）,必要,農作業に適した服装、長靴,従業員の確保,就職先検討,素直、真面目、向上心がある
44,（有）大郷グリーンファーマーズ,郷右近　秀俊,宮城県黒川郡大郷町粕川字熊の脇,,"12,000万円",15人,水稲、大豆、野菜、採卵鶏,資源循環型農業をテーマに安心、安全の農業を目指しています。,有機農業実践中,水稲、大豆、野菜,水稲、大豆、野菜,,各部門責任者,通年可能：田・畑での栽培作業、配送・納品等,2日日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,東北本線品井沼駅又は松島駅,必要,,従業員の確保,農業体験、就職先検討,素直でやる気があり、向上心がある
45,（有）耕佑,黒澤　光啓,宮城県栗原市一迫柳目字平沢,,非公表,非公表,施設園芸(水耕栽培)・サラダ菜・サンチュ・みつば等、　水稲・ひとめぼれ・つや姫等,,,,,,,,3日日〜,,,,,,,,,,,
46,（有）蔵王プロヴァンスファーム,倉繁　正人,宮城県白石市福岡深谷字二ノ萱,http://zao-beko.co.jp/,"12,000万円",4人,酪農,ホームページを参照してください,地域循環型農業の推進役,酪農、乳製品製造,酪農、乳製品製造,,倉繁正人,通年可能,2日日〜,可,不可,経営者宅に間借り,経営者等家族と一緒,有,JR東北本線白石駅、白石蔵王駅,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,積極性
47,デリシャスファーム（株）,今野　文隆,宮城県大崎市鹿島台木間塚字古舘,http://www.delicious-farm.com,15，000万円,33人,施設野菜の生産・販売及び加工・カフェ営業,土と作物を愛する心を大切にし、常に消費者の求める商品を作りだす。笑顔と活力に満ちた職場作りを目指し、若者にロマンを与える農業を創る。,有機に近づけるような農業,トマト、水菜,トマト、水菜,鹿島台農場、南郷農場,高橋　瑛,通年可能：トマトの生産販売加工,2日〜,可,不可,経営者宅に間借り,経営者等家族と一緒,有,（電車）東北本線　鹿島台駅　(自家用車),必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業に興味があり、将来、農業関係の仕事を目指す方
48,（株）田伝むし,木村　純,宮城県石巻市和渕字清水,http://www.denden999.com/,"3,102万円",4人,水稲（ササニシキ、みやこがねもち）、さつまいも、野菜、米加工品,健康につながる農作物を作り提供する。おにぎり屋、農カフェ、どぶろく作りなどの農から雇用を生み出す事業展開を計画中です。,有機農業に取組んで34年目になります。,水稲,水稲,,木村　純,5～11月／5月～7月：田んぼの草取り、畦の草刈り、注文時の精米・発送、畑の草取り、10月～11月：稲刈りの補助作業、稲刈りイベントの対応補助、さつまいもの収穫、,2日日〜,可,可,社宅・寮等,自炊（食材提供）,有,気仙沼線　和渕駅,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,元気で農業に真剣に取り組みたい方
49,みうら農園,三浦　徹,宮城県角田市高倉字島崎,,"1,200万円",2人,野菜（トマト他多品目）の生産と販売,農業で生計を立てる、農業で食べていくをモットーに自立した百姓を目指し取組んでいます。,一部宅配による無農薬栽培の実施,トマトを中心とした野菜多品目,トマトを中心とした野菜多品目,,三浦徹,通年可能：トマトを中心とした野菜多品目の管理収穫作業,2日日〜,不可,可,経営者宅に間借り,経営者等家族と一緒,無,阿武隈急行　角田駅,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験,農業を素直に受け止められる人
50,（株）未来彩園,笠原　亨,宮城県黒川郡大衡村駒場字彦右衛門橋,http://www.miraitomato.com/,"10,000万円",29人,大規模ガラス温室（1ha）トマト栽培,大規模農場経営による質的変換で魅力ある農業へ。,,トマト,トマト,,常務取締役　瀬尾誠,通年可能：トマト栽培,3日日〜,不可,不可,経営者宅に間借り,経営者等家族と一緒,有,仙台,必要,農作業に適した服装,従業員の確保,就職先検討,体力あり、ガッツある方
51,（有）杜のいちご,山口　雅之,宮城県刈田郡七ヶ宿町栗原,http://www.morinoichigo.net/,"12,000万円",12人,イチゴ栽培・販売、栽培指導,夏いちごの全国シェア1位を維持し10％まで引き上げたい。GGAP取得予定,天敵を使用し減農薬に取り組んでいます。,いちご,いちご,,山口　美紀,3～12月／6月～12月：収穫、苗の手入れ、選別、散布、3月～5月：定植、マルチかけ、苗の手入れ、散布,4日日〜,可,可,社宅・寮等 　社宅・寮等、経営者宅に間借り,その他　自炊（食費補助）、年齢、性別により応相談,有,JR白石駅からバスで40分,,作業着、タオル、帽子、水筒,従業員の確保,農業体験、就職先検討,元気でやる気のある人、覚える気のある人
52,(株)GRA,岩佐　大樹,宮城県亘理郡山元町山寺字桜堤,http://www.gra-inc.jp/,,80人,"果樹、その他（イチゴの苗）：とちおとめ、よつぼし、もういっこ、星の煌めき、夏苺数種,ハナミガキ","10年100社10,000万人の雇用機会を創出します",特になし,果樹、その他（イチゴの苗）：とちおとめの栽培管理,果樹、その他（イチゴの苗）：とちおとめの栽培管理,所在地と同じ,勝部達也、松本英之、菅野亘,通年可能：イチゴの栽培管理が主で、同じ作業の繰り返しが基本となります。,2日日〜,不可,不可,社宅・寮等,自炊（食費補助）,無,車,必要,農作業に適した服装、長靴、雨具、手袋、水筒、その他（時期によっては釜や先手ばさみが必要）,その他　農業体験・その他（新規就農の検討材料としての農業体験）,その他　農業体験・その他（新規就農の検討材料としての農業体験）,基本的に近い将来農業に参入を検討する方をメインに受け入れをしていますので、理想と現実の差を埋める作業としても農作業を行って頂きます。
